UO;TRD ;Ano Letivo;TNN média por CICLO;Participantes;;;PART_MATR
AE de Argoncilhe;8,89%;2018/19;40,58%;11,62%;;;
AE de Argoncilhe;8,89%;2019/20;40,58%;5,91%;;;
AE de Argoncilhe;8,89%;2020/21;40,58%;9,14%;;;
AE de Argoncilhe;8,89%;2021/22;40,58%;0,62%;;;
AE de Paços de Brandão;7,12%;2018/19;38,33%;11,62%;;;
AE de Paços de Brandão;7,12%;2019/20;38,33%;5,91%;;;
AE de Paços de Brandão;7,12%;2020/21;38,33%;9,14%;;;
AE de Paços de Brandão;7,12%;2021/22;38,33%;0,62%;;;
AE de Santa Maria da Feira;6,69%;2018/19;26,59%;11,62%;;;
AE de Santa Maria da Feira;6,69%;2019/20;26,59%;5,91%;;;
AE de Santa Maria da Feira;6,69%;2020/21;26,59%;9,14%;;;
AE de Santa Maria da Feira;6,69%;2021/22;26,59%;0,62%;;;
AE de Arrifana;6,47%;2018/19;30,19%;11,62%;;;
AE de Arrifana;6,47%;2019/20;30,19%;5,91%;;;
AE de Arrifana;6,47%;2020/21;30,19%;9,14%;;;
AE de Arrifana;6,47%;2021/22;30,19%;0,62%;;;
AE Coelho e Castro;5,98%;2018/19;34,06%;11,62%;;;
AE Coelho e Castro;5,98%;2019/20;34,06%;5,91%;;;
AE Coelho e Castro;5,98%;2020/21;34,06%;9,14%;;;
AE Coelho e Castro;5,98%;2021/22;34,06%;0,62%;;;
AE António Alves de Amorim;5,60%;2018/19;39,31%;11,62%;;;
AE António Alves de Amorim;5,60%;2019/20;39,31%;5,91%;;;
AE António Alves de Amorim;5,60%;2020/21;39,31%;9,14%;;;
AE António Alves de Amorim;5,60%;2021/22;39,31%;0,62%;;;
AE Fernando Pessoa;3,59%;2018/19;24,69%;11,62%;;;
AE Fernando Pessoa;3,59%;2019/20;24,69%;5,91%;;;
AE Fernando Pessoa;3,59%;2020/21;24,69%;9,14%;;;
AE Fernando Pessoa;3,59%;2021/22;24,69%;0,62%;;;
AE de Corga do Lobão;3,14%;2018/19;25,03%;11,62%;;;
AE de Corga do Lobão;3,14%;2019/20;25,03%;5,91%;;;
AE de Corga do Lobão;3,14%;2020/21;25,03%;9,14%;;;
AE de Corga do Lobão;3,14%;2021/22;25,03%;0,62%;;;
AE de Canedo;2,61%;2018/19;22,95%;11,62%;;;
AE de Canedo;2,61%;2019/20;22,95%;5,91%;;;
AE de Canedo;2,61%;2020/21;22,95%;9,14%;;;
AE de Canedo;2,61%;2021/22;22,95%;0,62%;;;
