TRD;TNN ;UO;Ano Letivo;Participantes
8,89%;40,58%;AE de Argoncilhe;2018/19;25,00%
8,89%;40,58%;AE de Argoncilhe;2019/20;25,00%
8,89%;40,58%;AE de Argoncilhe;2020/21;20,00%
8,89%;40,58%;AE de Argoncilhe;2021/22;25,00%
7,12%;38,33%;AE de Paços de Brandão;2018/19;25,00%
7,12%;38,33%;AE de Paços de Brandão;2019/20;25,00%
7,12%;38,33%;AE de Paços de Brandão;2020/21;25,00%
7,12%;38,33%;AE de Paços de Brandão;2021/22;25,00%
6,69%;26,59%;AE de Santa Maria da Feira;2018/19;20,00%
6,69%;26,59%;AE de Santa Maria da Feira;2019/20;20,00%
6,69%;26,59%;AE de Santa Maria da Feira;2020/21;16,67%
6,69%;26,59%;AE de Santa Maria da Feira;2021/22;20,00%
6,47%;30,19%;AE de Arrifana;2018/19;20,00%
6,47%;30,19%;AE de Arrifana;2019/20;20,00%
6,47%;30,19%;AE de Arrifana;2020/21;16,67%
6,47%;30,19%;AE de Arrifana;2021/22;20,00%
5,98%;34,06%;AE Coelho e Castro;2018/19;20,00%
5,98%;34,06%;AE Coelho e Castro;2019/20;20,00%
5,98%;34,06%;AE Coelho e Castro;2020/21;16,67%
5,98%;34,06%;AE Coelho e Castro;2021/22;20,00%
5,60%;39,31%;AE António Alves de Amorim;2018/19;25,00%
5,60%;39,31%;AE António Alves de Amorim;2019/20;25,00%
5,60%;39,31%;AE António Alves de Amorim;2020/21;20,00%
5,60%;39,31%;AE António Alves de Amorim;2021/22;25,00%
3,59%;24,69%;AE Fernando Pessoa;2018/19;25,00%
3,59%;24,69%;AE Fernando Pessoa;2019/20;25,00%
3,59%;24,69%;AE Fernando Pessoa;2020/21;20,00%
3,14%;25,03%;AE de Corga do Lobão;2018/19;25,00%
3,14%;25,03%;AE de Corga do Lobão;2019/20;25,00%
3,14%;25,03%;AE de Corga do Lobão;2020/21;20,00%
3,14%;25,03%;AE de Corga do Lobão;2021/22;25,00%
2,61%;22,95%;AE de Canedo;2018/19;25,00%
2,61%;22,95%;AE de Canedo;2019/20;25,00%
2,61%;22,95%;AE de Canedo;2020/21;20,00%
2,61%;22,95%;AE de Canedo;2021/22;25,00%
